symbol	company	listing_date	market_date	sector	sub_sector	open_price	close_price	low_price	high_price	volume
CBG	CBRE Group		2016-01-05	Real Estate	Real Estate Services	34.09	34.39	33.92	34.46	1848300
CBS	CBS Corp.	1994-09-01	2016-01-05	Consumer Discretionary	Broadcasting & Cable TV	46.60	46.12	45.95	46.76	4098300
CCI	Crown Castle International Corp.	2012-03-14	2016-01-05	Real Estate	REITs	85.53	87.14	85.53	87.18	2055200
CCL	Carnival Corp.		2016-01-05	Consumer Discretionary	Hotels, Resorts & Cruise Lines	54.02	53.68	53.62	54.18	4545300
CELG	Celgene Corp.		2016-01-05	Health Care	Biotechnology	117.71	117.96	116.68	119.59	3960400
CERN	Cerner	2010-04-30	2016-01-05	Health Care	Health Care Technology	58.09	58.08	57.81	58.65	1415200
CF	CF Industries Holdings Inc	2008-08-27	2016-01-05	Materials	Fertilizers & Agricultural Chemicals	40.38	39.23	39.15	40.66	2690000
CFG	Citizens Financial Group	2016-01-29	2016-01-05	Financials	Regional Banks	25.77	25.68	25.52	25.95	6389300
CHD	Church & Dwight	2015-12-29	2016-01-05	Consumer Staples	Household Products	83.46	82.80	82.38	83.89	2922600
CHK	Chesapeake Energy		2016-01-05	Energy	Integrated Oil & Gas	4.89	5.01	4.84	5.09	23666900
CHRW	C. H. Robinson Worldwide		2016-01-05	Industrials	Air Freight & Logistics	61.69	63.47	61.11	63.92	3967000
CHTR	Charter Communications	2016-09-08	2016-01-05	Consumer Discretionary	Cable & Satellite	177.29	175.17	174.59	177.42	1662000
CI	CIGNA Corp.	1976-06-30	2016-01-05	Health Care	Managed Health Care	146.49	144.14	143.72	148.14	1514800
CINF	Cincinnati Financial		2016-01-05	Financials	Property & Casualty Insurance	57.50	57.88	57.29	57.90	666000
CL	Colgate-Palmolive		2016-01-05	Consumer Staples	Household Products	64.73	65.00	64.60	65.26	4307000
CLX	The Clorox Company	1969-03-31	2016-01-05	Consumer Staples	Household Products	125.52	127.09	125.35	127.54	1571400
CMA	Comerica Inc.		2016-01-05	Financials	Regional Banks	41.53	40.98	40.76	41.74	1793400
CMCSA	Comcast A Corp	2015-09-18	2016-01-05	Consumer Discretionary	Cable & Satellite	55.84	55.65	55.48	56.05	14154400
CME	CME Group Inc.		2016-01-05	Financials	Financial Exchanges & Data	89.41	89.37	88.51	89.72	1582400
CMG	Chipotle Mexican Grill	2011-04-28	2016-01-05	Consumer Discretionary	Restaurants	450.00	449.03	446.80	459.88	2161300
CMI	Cummins Inc.	1965-03-31	2016-01-05	Industrials	Industrial Machinery	90.05	89.09	87.98	90.24	2660200
CMS	CMS Energy		2016-01-05	Utilities	MultiUtilities	35.56	35.89	34.96	36.02	2230400
CNC	Centene Corporation	2016-03-30	2016-01-05	Health Care	Managed Health Care	66.03	66.97	66.03	68.42	2538900
CNP	CenterPoint Energy	1985-07-31	2016-01-05	Utilities	MultiUtilities	18.31	18.44	18.04	18.49	4854700
